[0730/223527:ERROR:ipc_channel_win.cc(401)] pipe error: 232
[0730/223629:ERROR:ipc_channel_win.cc(401)] pipe error: 232
[0730/224516:ERROR:ipc_channel_win.cc(401)] pipe error: 232
[0730/224915:ERROR:ipc_channel_win.cc(401)] pipe error: 232
[0730/225139:ERROR:ipc_channel_win.cc(401)] pipe error: 232
[0730/225147:ERROR:ipc_channel_win.cc(401)] pipe error: 232
[0731/101236:ERROR:ipc_channel_win.cc(401)] pipe error: 232
[0731/101237:INFO:CONSOLE(1)] "ReferenceError: EdgeDOM is not defined
    at eval (eval at <anonymous> (about:blank:0:47), <anonymous>:1:7)
    at about:blank:0:47", source:  (1)
[0731/101239:ERROR:gles2_cmd_decoder.cc(5484)] .SharedGraphicsContext: GL ERROR :GL_INVALID_VALUE : glTexParameteri: unknown texture
[0731/103133:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
[0731/103134:INFO:CONSOLE(0)] "Uncaught SyntaxError: Unexpected token ILLEGAL", source: about:blank (0)
